62,D
71,D
62,D
86,B
61,D
60,D
78,C
65,D
84,C
99,A
82,C
78,C
77,C
81,C
66,D
67,D
70,D
59,F
67,D
100,A
71,D
80,C
77,C
67,D
91,B
88,B
55,F
81,C
62,D
94,B
72,D
55,F
77,C
62,D
57,F
73,C
61,D
61,D
100,A
91,B
100,A
86,B
98,B
83,C
58,F
66,D
94,B
61,D
58,F
99,A
87,B
99,A
93,B
89,B
86,B
73,C
97,B
68,D
87,B
98,B
64,D
81,C
57,F
56,F
59,F
96,B
84,C
98,B
55,F
91,B
67,D
63,D
93,B
90,B
79,C
93,B
71,D
66,D
79,C
85,C
67,D
62,D
87,B
76,C
79,C
100,A
67,D
55,F
87,B
79,C
84,C
73,C
82,C
99,A
95,B
85,C
58,F
82,C
55,F
65,D
87,B
63,D
92,B
81,C
74,C
72,D
100,A
75,C
77,C
86,B
91,B
96,B
92,B
60,D
85,C
56,F
97,B
77,C
99,A
93,B
88,B
90,B
73,C
62,D
95,B
86,B
76,C
64,D
95,B
78,C
93,B
96,B
86,B
74,C
77,C
94,B
88,B
81,C
75,C
63,D
78,C
67,D
99,A
73,C
99,A
59,F
70,D
89,B
64,D
87,B
88,B
90,B
73,C
62,D
95,B
86,B
76,C
64,D
95,B
78,C
93,B
96,B
86,B
74,C
77,C
94,B
88,B
81,C
75,C
63,D
88,B
90,B
73,C
62,D
95,B
86,B
76,C
64,D
95,B
78,C
93,B
96,B
86,B
74,C
77,C
94,B
88,B
81,C
75,C
63,D
82,C
78,C
77,C
81,C
66,D
67,D
70,D
59,F
67,D
90,B
